"week","name","item_id","c4 peak","pop"
59,Potion,1,"2S",70
59,Firesand,2,"4W",70
59,WoodenChair,3,"4W",70
59,GrilledClam,4,"5S",70
59,Necklace,5,"7S",70
59,CoralRing,6,"5W",70
59,Barbut,7,"4S",70
59,Macuahuitl,8,"4W",70
59,Sauerkraut,9,"3S",70
59,BakedPumpkin,10,"2W",70
59,Tunic,11,"2W",70
59,CulinaryKnife,12,"7S",70
59,Brush,13,"2S",70
59,BoiledEgg,14,"6S",70
59,Hora,15,"7W",70
59,Earrings,16,"7W",70
59,Butter,17,"4S",70
59,BrickCounter,18,"7S",70
59,BronzeSheep,19,"5S",70
59,GrowthFormula,20,"5S",70
59,GarnetRapier,21,"2W",70
59,SpruceRoundShield,22,"6S",70
59,SharkOil,23,"5W",70
59,SilverEarCuffs,24,"2W",70
59,SweetPopoto,25,"6W",70
59,ParsnipSalad,26,"4S",70
59,Caramels,27,"6W",70
59,Ribbon,28,"7W",70
59,Rope,29,"7S",70
59,CavaliersHat,30,"7W",70
59,Horn,31,"2S",70
59,SaltCod,32,"7S",70
59,SquidInk,33,"6S",70
59,EssentialDraught,34,"3W",70
59,Jam,35,"3W",70
59,TomatoRelish,36,"7W",70
59,OnionSoup,37,"3S",70
59,Pie,38,"3W",70
59,CornFlakes,39,"3S",70
59,PickledRadish,40,"5W",70
59,IronAxe,41,"5S",70
59,QuartzRing,42,"4W",70
59,PorcelainVase,43,"2S",70
59,VegetableJuice,44,"5W",70
59,PumpkinPudding,45,"4S",70
59,SheepfluffRug,46,"6W",70
59,GardenScythe,47,"3S",70
59,Bed,48,"3W",70
59,ScaleFingers,49,"6S",70
59,Crook,50,"6W",70
59,Coral Sword,51,"5W",70
59,Coconut Juice,52,"4W",70
59,Honey,53,"3S",70
59,Seashine Opal,54,"4S",70
59,Dried Flowers,55,"6W",70
59,Powdered Paprika,56,"7W",70
59,Cawl Cennin,57,"2W",70
59,Isloaf,58,"2S",70
59,Popoto Salad,59,"7S",70
59,Dressing,60,"6S",70
59,Stove,61,"3W",70
59,Lantern,62,"5S",70
59,Natron,63,"6S",70
59,Bouillabaisse,64,"4S",70
59,Fossil Display,65,"4W",70
59,Bathtub,66,"2W",70
59,Spectacles,67,"5S",70
59,Cooling Glass,68,"2S",70
59,Runner Bean Saute,69,"7W",70
59,Beet Soup,70,"7S",70
59,Imam Bayildi,71,"6W",70
59,Pickled Zucchini,72,"5W",70
59,Serving Dish,73,"3W",70
59,Grinding Wheel,74,"3S",70
59,Tathlums,75,"5W",70
59,Gold Hairpin,76,"4W",70
59,Mammet Award,77,"6W",70
59,Fruit Punch,78,"2S",70
59,Sweet Popoto Pie,79,"2W",70
59,Peperoncino,80,"3S",70
59,Buffalo Bean Salad,81,"3W",70
60,Potion,1,"6S",43
60,Firesand,2,"7S",43
60,WoodenChair,3,"6S",43
60,GrilledClam,4,"6S",43
60,Necklace,5,"7W",43
60,CoralRing,6,"6W",43
60,Barbut,7,"7S",43
60,Macuahuitl,8,"4S",43
60,Sauerkraut,9,"6W",43
60,BakedPumpkin,10,"7S",43
60,Tunic,11,"7W",43
60,CulinaryKnife,12,"2S",43
60,Brush,13,"2W",43
60,BoiledEgg,14,"3W",43
60,Hora,15,"3W",43
60,Earrings,16,"6W",43
60,Butter,17,"7W",43
60,BrickCounter,18,"7S",43
60,BronzeSheep,19,"4W",43
60,GrowthFormula,20,"4S",43
